wezel,rank_grafowy,kategoria_grafowa,betweenness_score,cisnienie_bazowe_m,cisnienie_po_awarii_m,spadek_cisnienia_m,liczba_rur_zamknietych
125,34,Mniej ważny,494.66666666666674,42.0714,41.2892,0.7822,3
151,35,Mniej ważny,467.33333333333326,42.0714,41.3606,0.7108,3
213,36,Mniej ważny,423.0,42.0714,39.8801,2.1913,3
197,37,Mniej ważny,412.12931839402455,42.0714,41.6541,0.4173,2
127,38,Mniej ważny,405.75000000000006,42.0714,41.7758,0.2956,3
149,39,Mniej ważny,334.25,42.0714,41.3462,0.7252,2
249,40,Mniej ważny,295.83333333333337,42.0714,41.6238,0.4476,3
275,41,Mniej ważny,281.91111111111104,42.0714,41.5367,0.5347,3
273,42,Mniej ważny,278.94206349206337,42.0714,41.6066,0.4648,3
123,43,Mniej ważny,264.0,42.0714,-94.8597,136.9311,2
215,44,Mniej ważny,264.0,42.0714,40.3396,1.7318,2
147,45,Mniej ważny,258.25,42.0714,41.4036,0.6678,2
129,46,Mniej ważny,253.75,42.0714,41.0958,0.9756,3
201,47,Mniej ważny,217.9026143790853,42.0714,51.3435,-9.2721,3
241,48,Mniej ważny,216.0,42.0714,41.22,0.8513,3
141,49,Mniej ważny,190.0,42.0714,40.7817,1.2897,3
271,50,Mniej ważny,188.0666666666667,42.0714,43.5955,-1.5241,3
145,51,Mniej ważny,183.75000000000003,42.0714,41.4259,0.6455,2
255,52,Mniej ważny,180.16666666666663,42.0714,41.4818,0.5896,4
217,53,Mniej ważny,179.0,42.0714,40.7934,1.278,3
179,54,Mniej ważny,178.49999999999997,42.0714,64.2285,-22.1571,3
61,55,Mniej ważny,178.0,42.0714,-123.7276,165.799,2
247,56,Mniej ważny,177.83333333333331,42.0714,41.7023,0.3691,3
109,57,Mniej ważny,174.33333333333334,42.0714,41.6208,0.4505,2
269,58,Mniej ważny,160.88333333333333,42.0714,41.5776,0.4938,3
195,59,Mniej ważny,160.14126984126975,42.0714,41.6164,0.455,2
107,60,Mniej ważny,142.14439775910355,42.0714,41.5942,0.4772,2
261,61,Mniej ważny,137.31101774042955,42.0714,41.5827,0.4887,3
105,62,Mniej ważny,132.74439775910355,42.0714,41.6649,0.4065,3
257,63,Mniej ważny,119.36596638655465,42.0714,41.6215,0.4499,3
181,64,Mniej ważny,115.5,42.0714,43.1637,-1.0923,3
229,65,Mniej ważny,115.0,42.0714,41.2578,0.8136,3
101,66,Mniej ważny,99.0,42.0714,41.1241,0.9473,3
103,67,Mniej ważny,97.33333333333331,42.0714,41.6218,0.4496,2
263,68,Mniej ważny,94.47450980392158,42.0714,41.5751,0.4963,3
139,69,Mniej ważny,92.25,42.0714,41.5648,0.5066,2
601,70,Mniej ważny,90.0,42.0714,40.724,1.3474,2
143,71,Mniej ważny,90.0,42.0714,41.293,0.7784,2
164,72,Mniej ważny,90.0,42.0714,41.0586,1.0128,2
251,73,Mniej ważny,85.5,42.0714,41.7299,0.3415,2
177,74,Mniej ważny,31.0,42.0714,41.5215,0.5499,2
259,75,Mniej ważny,28.078571428571443,42.0714,41.6312,0.4401,2
153,76,Mniej ważny,12.0,42.0714,41.775,0.2964,2
131,77,Mniej ważny,0.0,42.0714,41.5777,0.4937,1
20,78,Mniej ważny,0.0,42.0714,42.4568,-0.3854,2
15,79,Mniej ważny,0.0,42.0714,41.837,0.2344,1
10,80,Mniej ważny,0.0,42.0714,41.5787,0.4927,1
35,81,Mniej ważny,0.0,42.0714,43.5505,-1.4791,1
60,82,Mniej ważny,0.0,42.0714,-130.4945,172.5659,2
40,83,Mniej ważny,0.0,42.0714,64.9188,-22.8474,2
50,84,Mniej ważny,0.0,42.0714,42.0782,-0.0069,2
203,85,Mniej ważny,0.0,42.0714,51.974,-9.9026,1
167,86,Mniej ważny,0.0,42.0714,41.5538,0.5176,1
166,87,Mniej ważny,0.0,42.0714,41.554,0.5174,1
219,88,Mniej ważny,0.0,42.0714,41.6549,0.4164,1
231,89,Mniej ważny,0.0,42.0714,41.6335,0.4379,1
225,90,Mniej ważny,0.0,42.0714,41.6483,0.4231,1
253,91,Mniej ważny,0.0,42.0714,41.7904,0.2809,1
243,92,Mniej ważny,0.0,42.0714,41.65,0.4214,1
